company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,total_filed,wilson_lower,wilson_upper,point_rate,uncertainty_width,recommendation,baseline_effort,recommended_effort,effort_delta,allocation_lower,allocation_upper,move_from,move_to,quantity_to_move_hours_per_week
3DEO INC,Other Technology,3deo.co,Torrance,CA,90505,(310) 400-6382,2016.0,9.0,"MATTHEW PETROS, MATTHEW SAND, Matthew Petros, Matthew Sand, PAYMAN TORABI, Payman Torabi","DAVID BURNS, David Burns, KEN HOOD, Ken Hood, MARK SPOTO, NATE REDMOND, Nate Redmond",53991315.0,15076422.0,Series A,2020-12-18,4.0,0.0,100.0,110000.0,['Senior Mechanical Engineer'],4.0,0.5100999795960008,1.0,1.0,0.48990002040399916,CONSIDER,4.0,2.5504935646101314,-1.4495064353898686,2.5504935646101314,4.454432317921657,3DEO INC,JUNIPER NETWORKS INC,1.0
ACCELA INC,Other Technology,accela.com,SAN RAMON,CA,94583,(925) 659-3201,,,"Colin Samuels, Jeffrey Tung, John Alves, Maury Blackman","Blair Greenberg, Daniel Kim, Derek Chau, Rudy Karsan, Tyler Wick, Wai Yan Sandy Chau",191500062.0,183500000.0,Series D+,2015-02-13,4.0,0.0,100.0,127722.0,"['Sr. Program Manager', 'Computer Systems Engineer (Solution) ', 'Software Developer (Product Manager)', 'Sr. Dev Ops Engineer']",4.0,0.5100999795960008,1.0,1.0,0.48990002040399916,CONSIDER,4.0,2.5504935646101314,-1.4495064353898686,2.5504935646101314,4.454432317921657,3DEO INC,JUNIPER NETWORKS INC,1.0
LINKEDIN CORP,Other Technology,linkedin.com,Mountain View,CA,94043,(650) 687-3600,,,"Dipchand J. Nishar, Erika J. Rottenberg, James Kevin Scott, Michael J. Gamson, Steven J. Sordello","A. George Kevin Battle, David L. Sze, Leslie J. Kilgore, Michael J. Mortiz, Reid Kevin Hoffman",119600031.0,119600031.0,Series D+,2014-02-28,4962.0,28.0,99.43887775551104,167149.0,"['Sr Software Engineer', 'Staff Software Engineer', 'Sr. Software Engineer, Systems Infrastructure', 'Sr Data Scientist', 'Software Engineer', 'Sr Software Engineer', 'Staff Software Engineer', 'Staff Software Engineer, Systems Infrastructure', 'Associate Product Manager', 'Sr. Software Engineer, Machine Learning']",4990.0,0.9919020531666293,0.9961148675142352,0.9943887775551102,0.004212814347605898,PRIORITIZE,4.0,4.959497950438455,0.9594979504384549,4.959497950438455,4.975321955952413,3DEO INC,JUNIPER NETWORKS INC,1.0
CONFLUENT INC,Other Technology,confluent.com,PALO ALTO,CA,94301,(800) 439-3207,2014.0,11.0,"Edward (Jay) Kreps, Neha Narkhede","Eric Vishria, Matthew Miller, Michelangelo Volpi",49999988.0,49999988.0,Series C,2017-02-21,610.0,0.0,100.0,165000.0,"['Software Engineer', 'Senior Software Engineer', 'Staff Software Engineer', 'Sr. Business Systems Analyst - GTM', 'Senior Cloud Partner Solutions Engineer - AWS Field']",610.0,0.9937417079585352,0.9999999999999999,1.0,0.006258292041464664,PRIORITIZE,4.0,4.968696201556945,0.9686962015569449,4.968696201556945,4.992176978094051,3DEO INC,JUNIPER NETWORKS INC,1.0
JUNIPER NETWORKS INC,Telecommunications,juniper-networks.com,SUNNYVALE,CA,94089,(408) 745-2000,,,"ANAND ATHREYA, BIKASH KOLEY, BRIAN MARTIN, Bikash Koley, Brian Martin, CHRISTOPHER KADDARAS, Gerri Elliott, KENNETH MILLER, MANOJ LEELANIVAS, Manoj Leelanivas, Mitchell L. Gaynor, Pierre-Paul Allard, Pradeep L. Sindhu, RAMI RAHIM, ROBERT MOBASSALY, Rami Rahim, Robyn Denholm, THOMAS AUSTIN","CHRISTINE GORJANC, David L. Schlotterbeck, GARY DAICHENDT, Gary Daichendt, JAMES DOLCE, JANET HAUGEN, James Dolce, John L. Lawrie, KEVIN DENUCCIO, MERCEDES JOHNSON, Mercedes Johnson, Mercedes L. Johnson, RAHUL MERCHANT, SCOTT KRIENS, Scott Kriens, Scott L. Kriens, WILLIAM STENSRUD, William L. Stensrud, William Stensrud",66201379.0,4327073.0,Pre-Seed,2021-01-27,1244.0,2.0,99.83948635634027,127306.5,"['Technical Support Engineer', 'Business Operations Analyst', 'Systems Engineer', 'Sales Engineer', 'Sr. Associate Sales Engineer', 'Software Engineer', 'Software Engineer Staff', 'Software Engineer Senior Staff', 'UX Designer', 'Product Manager']",1246.0,0.994166212458138,0.9995597124910717,0.9983948635634029,0.005393500032933707,PRIORITIZE,4.0,4.9708187187843365,0.9708187187843365,4.9708187187843365,4.991056353043907,3DEO INC,JUNIPER NETWORKS INC,1.0
